sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,7
1,0.25,0.76875,-4216,7
2,0.25,0.58375,-3096,7
3,0.25,0.43875,-2432,7
4,0.25,0.31125,-2160,7
5,0.25,0.245,-2128,7
6,0.25,0.2725,-1832,7
7,0.25,0.18375,-1696,7
8,0.25,0.11625,-1688,7
9,0.25,0.16875,-1592,7
10,0.25,0.16375,-1784,7
11,0.25,0.11375,-1800,7
12,0.25,0.0625,-1872,7
13,0.25,0.0675,-1752,7
14,0.25,0.0475,-1800,7
15,0.25,0.07125,-1904,7
16,0.25,0.0775,-1752,7
17,0.25,0.025,-1840,7
18,0.25,0.02875,-1824,7
19,0.25,-0.0475,-1768,7
20,0.25,-0.0275,-1528,7
