sweeps,beta,magnetisation,seed
0,0.25,-1,84
1,0.25,-0.78125,84
2,0.25,-0.58125,84
3,0.25,-0.42125,84
4,0.25,-0.3725,84
5,0.25,-0.2475,84
6,0.25,-0.20625,84
7,0.25,-0.1775,84
8,0.25,-0.16875,84
9,0.25,-0.18875,84
10,0.25,-0.115,84
