sweeps,beta,magnetisation,seed
0,0.25,1,73
1,0.25,0.76,73
2,0.25,0.5025,73
3,0.25,0.39375,73
4,0.25,0.3025,73
5,0.25,0.2775,73
6,0.25,0.1625,73
7,0.25,0.125,73
8,0.25,0.1075,73
9,0.25,0.10625,73
10,0.25,0.08125,73
11,0.25,0.0425,73
12,0.25,-0.0025,73
13,0.25,-0.07,73
14,0.25,-0.0675,73
15,0.25,-0.0475,73
16,0.25,-0.035,73
17,0.25,-0.03375,73
18,0.25,0.01625,73
19,0.25,-0.03125,73
20,0.25,0.01,73
