sweeps,beta,magnetisation,seed
0,0.25,-1,51
1,0.25,-0.7525,51
2,0.25,-0.56875,51
3,0.25,-0.41125,51
4,0.25,-0.2825,51
5,0.25,-0.23125,51
6,0.25,-0.1375,51
7,0.25,-0.0775,51
8,0.25,-0.0825,51
9,0.25,-0.12875,51
10,0.25,-0.15125,51
