sweeps,beta,magnetisation,seed
0,0.25,-1,5
1,0.25,-0.7475,5
2,0.25,-0.56375,5
3,0.25,-0.42875,5
4,0.25,-0.28625,5
5,0.25,-0.19375,5
6,0.25,-0.105,5
7,0.25,-0.06625,5
8,0.25,-0.05375,5
9,0.25,-0.1025,5
10,0.25,-0.05625,5
