sweeps,beta,magnetisation,seed
0,0.25,-1,85
1,0.25,-0.75125,85
2,0.25,-0.55625,85
3,0.25,-0.3875,85
4,0.25,-0.26125,85
5,0.25,-0.16625,85
6,0.25,-0.07125,85
7,0.25,-0.02625,85
8,0.25,0.01125,85
9,0.25,0.01,85
10,0.25,-0.04125,85
